                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 0.4437,                0.27945,                0.77597,                0.99952,                      1,                  0.995,                0.89908,                0.43371,                 0.2454,                0.79127,                0.00208,                0.00208,                0.00208
                     83,                 0.4464,                0.28147,                0.77846,                0.99969,                0.99993,                  0.995,                0.92292,                0.35476,                0.22735,                0.78775,               0.001981,               0.001981,               0.001981
                     84,                0.43778,                0.27659,                0.77857,                0.99936,                0.99969,                  0.995,                0.92683,                0.36972,                 0.2347,                0.78863,               0.001882,               0.001882,               0.001882
                     85,                0.43201,                0.27459,                0.77436,                0.99953,                      1,                  0.995,                0.91985,                0.37647,                0.23144,                0.78845,               0.001783,               0.001783,               0.001783
                     86,                0.44932,                0.28033,                0.77591,                0.99944,                      1,                  0.995,                 0.9334,                0.34137,                0.22361,                0.78649,               0.001684,               0.001684,               0.001684
                     87,                0.43005,                0.27074,                0.77619,                0.99921,                0.99792,                  0.995,                0.92131,                0.36783,                 0.2286,                0.78735,               0.001585,               0.001585,               0.001585
                     88,                0.42056,                0.26566,                0.77605,                0.99967,                0.99961,                  0.995,                0.93146,                0.34892,                0.22139,                0.78679,               0.001486,               0.001486,               0.001486
                     89,                0.42407,                0.26762,                0.77547,                0.99979,                      1,                  0.995,                0.93279,                0.34028,                0.21759,                0.78697,               0.001387,               0.001387,               0.001387
                     90,                0.42306,                0.26732,                0.77446,                0.99955,                      1,                  0.995,                0.93261,                0.34315,                0.22119,                0.78662,               0.001288,               0.001288,               0.001288
                     91,                 0.4224,                0.27619,                0.77787,                0.99939,                      1,                  0.995,                0.91749,                0.39858,                0.24099,                0.78892,               0.001189,               0.001189,               0.001189
                     92,                 0.3989,                0.26395,                0.77172,                0.99935,                      1,                  0.995,                 0.9247,                0.36338,                0.23035,                0.78666,                0.00109,                0.00109,                0.00109
                     93,                0.40134,                0.26288,                0.77264,                0.99925,                0.99971,                  0.995,                0.92102,                0.37583,                 0.2336,                0.78798,               0.000991,               0.000991,               0.000991
                     94,                0.38046,                0.25331,                0.77277,                0.99928,                      1,                  0.995,                 0.9331,                0.34677,                0.22166,                0.78662,               0.000892,               0.000892,               0.000892
                     95,                0.39866,                0.25748,                 0.7765,                0.99958,                      1,                  0.995,                0.92159,                0.37415,                0.23216,                0.78745,               0.000793,               0.000793,               0.000793
                     96,                0.39203,                0.25317,                0.77386,                0.99958,                      1,                  0.995,                0.93627,                0.34138,                0.22082,                0.78669,               0.000694,               0.000694,               0.000694
                     97,                0.37857,                 0.2524,                0.77466,                0.99974,                      1,                  0.995,                0.93435,                0.34511,                0.21784,                0.78666,               0.000595,               0.000595,               0.000595
                     98,                0.37597,                0.24821,                0.77033,                0.99944,                      1,                  0.995,                0.93775,                 0.3296,                0.21234,                0.78581,               0.000496,               0.000496,               0.000496
                     99,                0.36196,                0.24318,                0.77187,                0.99946,                      1,                  0.995,                0.93664,                0.33349,                0.21243,                0.78568,               0.000397,               0.000397,               0.000397
                    100,                0.35977,                0.23815,                0.77168,                0.99938,                      1,                  0.995,                0.93421,                0.33432,                0.21403,                0.78567,               0.000298,               0.000298,               0.000298
