                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.30282,                0.20744,                0.77378,                0.99984,                      1,                  0.995,                0.98556,                0.20703,                0.15204,                0.76716,               0.001585,               0.001585,               0.001585
                     87,                0.30752,                0.21087,                0.77656,                0.99985,                      1,                  0.995,                0.98696,                0.19849,                0.14741,                0.76653,               0.001486,               0.001486,               0.001486
                     88,                0.30014,                 0.2073,                0.77438,                0.99982,                      1,                  0.995,                0.98625,                0.20282,                0.14763,                0.76618,               0.001387,               0.001387,               0.001387
                     89,                0.31238,                0.21025,                0.77548,                0.99984,                      1,                  0.995,                0.98752,                0.20144,                0.14805,                0.76599,               0.001288,               0.001288,               0.001288
                     90,                0.29194,                0.20279,                0.77616,                0.99986,                      1,                  0.995,                0.98768,                0.20077,                0.14877,                 0.7669,               0.001189,               0.001189,               0.001189
                     91,                0.29104,                0.20585,                0.77226,                0.99983,                      1,                  0.995,                0.98439,                0.21526,                0.15699,                0.76691,                0.00109,                0.00109,                0.00109
                     92,                 0.2781,                0.19472,                 0.7684,                0.99983,                      1,                  0.995,                0.98192,                0.22432,                 0.1603,                0.76809,               0.000991,               0.000991,               0.000991
                     93,                0.26075,                0.18527,                0.76715,                0.99984,                      1,                  0.995,                0.98503,                0.21497,                0.15545,                0.76625,               0.000892,               0.000892,               0.000892
                     94,                0.26203,                0.18469,                0.77173,                0.99984,                      1,                  0.995,                0.98368,                0.22342,                0.15505,                0.76728,               0.000793,               0.000793,               0.000793
                     95,                0.26308,                0.18485,                0.77276,                0.99984,                      1,                  0.995,                0.98584,                0.21394,                0.15342,                 0.7668,               0.000694,               0.000694,               0.000694
                     96,                0.26607,                0.18646,                0.77157,                0.99984,                      1,                  0.995,                0.98837,                0.20419,                0.14727,                0.76637,               0.000595,               0.000595,               0.000595
                     97,                0.25567,                0.18077,                 0.7667,                0.99983,                      1,                  0.995,                 0.9874,                0.19983,                0.14611,                0.76599,               0.000496,               0.000496,               0.000496
                     98,                0.25344,                0.18081,                0.77224,                0.99984,                      1,                  0.995,                0.98714,                  0.199,                0.14972,                0.76564,               0.000397,               0.000397,               0.000397
                     99,                 0.2506,                0.18008,                0.76822,                0.99983,                      1,                  0.995,                 0.9856,                0.19832,                0.14815,                0.76589,               0.000298,               0.000298,               0.000298
                    100,                0.24864,                0.17763,                0.77112,                0.99984,                      1,                  0.995,                0.98592,                 0.1962,                0.14658,                0.76582,               0.000199,               0.000199,               0.000199
